date	open	high	low	close	volume	adj_close
2016-12-30	224.729996	224.830002	222.729996	223.529999	101301800	223.529999
2016-12-29	224.479996	224.889999	223.839996	224.350006	47719500	224.350006
2016-12-28	226.570007	226.589996	224.270004	224.399994	59776300	224.399994
2016-12-27	226.020004	226.729996	226.00	226.270004	41054400	226.270004
2016-12-23	225.429993	225.720001	225.210007	225.710007	36251400	225.710007
2016-12-22	225.600006	225.740005	224.919998	225.380005	56219100	225.380005
2016-12-21	226.25	226.449997	225.770004	225.770004	67909000	225.770004
2016-12-20	226.149994	226.570007	225.880005	226.399994	89838800	226.399994
2016-12-19	225.25	226.020004	225.080002	225.529999	90341100	225.529999
2016-12-16	226.009995	226.080002	224.669998	225.039993	156420200	225.039993
2016-12-15	226.160004	227.809998	225.889999	226.809998	124972600	225.480992
2016-12-14	227.410004	228.229996	225.369995	225.880005	142501800	224.556449
2016-12-13	227.020004	228.339996	227.00	227.759995	110477500	226.425423
2016-12-12	226.399994	226.960007	225.759995	226.25	102016100	224.924276
2016-12-09	225.410004	226.529999	225.369995	226.509995	88005800	225.182747
2016-12-08	224.570007	225.699997	224.259995	225.149994	99714400	223.830715
2016-12-07	221.520004	224.669998	221.380005	224.600006	110738100	223.28395
2016-12-06	221.220001	221.740005	220.660004	221.699997	59877400	220.400934
2016-12-05	220.649994	221.399994	220.419998	221.00	67837800	219.705039
2016-12-02	219.669998	220.25	219.259995	219.679993	74840300	218.392766
2016-12-01	220.729996	220.729996	219.149994	219.570007	79040500	218.283425
2016-11-30	221.630005	221.820007	220.309998	220.380005	113291800	219.088676
2016-11-29	220.520004	221.440002	220.169998	220.910004	69886700	219.61557
2016-11-28	221.160004	221.479996	220.360001	220.479996	76572500	219.188081
2016-11-25	221.100006	221.559998	221.009995	221.520004	37872300	220.221996
2016-11-23	219.979996	220.759995	219.75	220.699997	56620200	219.406793
2016-11-22	220.509995	220.789993	219.729996	220.580002	67429000	219.287501
2016-11-21	219.169998	220.179993	219.00	220.149994	72402600	218.860013
2016-11-18	219.070007	219.270004	218.289993	218.50	86265800	217.219687
2016-11-17	218.050003	219.059998	217.919998	218.990005	69797200	217.706822
2016-11-16	217.559998	218.139999	217.419998	217.869995	65617700	216.593374
2016-11-15	217.039993	218.279999	216.800003	218.279999	91652600	217.000975
2016-11-14	217.029999	217.270004	215.720001	216.589996	94580000	215.320876
2016-11-11	216.080002	216.699997	215.320007	216.419998	100552700	215.151874
2016-11-10	217.300003	218.309998	215.220001	216.919998	172113300	215.648944
2016-11-09	212.369995	217.100006	212.339996	216.380005	258429000	215.112115
2016-11-08	212.690002	214.770004	212.380005	214.110001	106772100	212.855412
2016-11-07	208.550003	213.190002	208.550003	213.149994	109794900	211.90103
2016-11-04	208.910004	209.889999	208.380005	208.550003	109122100	207.327993
2016-11-03	209.990005	210.240005	208.460007	208.779999	88939300	207.556641
2016-11-02	210.649994	211.100006	209.229996	209.740005	103330800	208.511023
2016-11-01	212.929993	212.990005	209.600006	211.009995	122781800	209.77357
2016-10-31	212.929993	213.190002	212.360001	212.550003	61272500	211.304555
